species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
5786419,3,Lepilemur grewcocki,Anjiamangirana Sportive Lemur,
5786915,3,Nephelomys devius,Boquete Rice Rat,1
5786920,3,Nephelomys auriventer,Ecuadorean Rice Rat,3
5787306,3,Thyroptera devivoi,De Vivo's Disk-winged Bat,2
5787430,3,Rhinolophus pumilus,Okinawa Horseshoe Bat,
7261753,3,Dobsonia peronii,Western Naked-backed Fruit Bat,2
7261898,3,Myotis nipalensis,Nepalese Myotis,1
7261921,3,Platymops setiger,East African Flat-headed Bat,
7262003,3,Piliocolobus pennantii,Bioko Red Colobus,2
7359233,3,Juliomys ossitenuis,Delicate Red-nosed Tree Mouse,
7417024,3,Otomys helleri,Heller's Vle,1
7445659,3,Ceratotherium cottoni,Northern White Rhinoceros,
7450444,3,Cebus leucocephalus,Sierra De Perijá White-fronted Capuchin,3
7516644,3,Presbytis canicrus,Miller's Grizzled Langur,3
7575773,3,Myotis izecksohni,Izecksohn's Myotis,3
7669722,3,Murina shuipuensis,Shiipu Tube-nosed Bat,0
7703233,3,Halmaheramys bokimekot,Spiny Boki Mekot Rat,0
7829869,3,Hylopetes sagitta,Ardilla Voladora De Mejillas Grises,
7868037,3,Microcebus macarthurii,Anjiahely Mouse Lemur,1
7887226,3,Myotis midastactus,Golden Myotis,
8017285,3,Anoura cadenai,Anoura De Cadena,0
8038457,3,Artibeus schwartzi,Artibeo De Schwartz,1
8040550,3,Arvicola cantiana,,
8218071,3,Hipposideros griffini,Griffin's Leaf-nosed Bat,3
8308575,3,Eligmodontia dunaris,Dune Gerbil Mouse,
8313359,3,Rhinolophus thailandensis,Thai Horseshoe Bat,1
8323887,3,Tarsius wallacei,Wallace's Tarsier,3
8327146,3,Miniopterus aelleni,Aellen's Long-fingered Bat,0
8376238,3,Piliocolobus waldronae,Miss Waldron's Red Colobus,
8450745,3,Eudiscoderma thongareeae,Thongaree's False-vampire,2
8605892,3,Pithecia inusta,Burnished Saki,3
8808055,3,Caenolestes sangay,Sangay Shrew-opossum,1
8899520,3,Monodelphis gardneri,Gardner's Short-tailed Opossum,
9078143,3,Peropteryx pallidoptera,Pale-winged Dog-like Bat,
9080931,3,Thomomys sheldoni,Sheldon Pocket Gopher,
9160213,3,Pteropus pelagicus,Chuuk Flying Fox,3
9169267,3,Ochotona syrinx,Qinling Pika,2
9306468,3,Tylonycteris tonkinensis,Tonkin Bamboo Bat,
9498216,3,Oligoryzomys messorius,Hairy Colilargo,
9538844,3,Cheirogaleus shethi,Ankarana Dwarf Lemur,3
9675704,3,Sorex spec,,
10193140,2,Chaeropus yirratji,Northern Pig-footed Bandicoot,0
10602268,2,Barbastella pacifica,Japanese Barbastelle,
10746430,2,Urocitellus endemicus,Southern Idaho Ground Squirrel,0
10839742,2,Graomys chacoensis,Chaco Pericote,2
10888809,2,Cryptotis evaristoi,Evaristo's Small-eared Shrew,
10892709,2,Glauconycteris atra,Blackish Butterfly Bat,
10897148,2,Lasiurus arequipae,,
11116721,2,Pteropus ennisae,New Ireland Masked Flying Fox,0
11140499,2,Pteronotus pusillus,Hispaniolan Common Mustached Bat,
11180223,2,Pteronotus fuscus,Allen's Mustached Bat,
11192049,2,Pseudoromicia isabella,Isabelline Serotine,0
11376494,2,Tragelaphus bor,Nile Bushbuck,
11534627,2,Alexandromys middendorffii,Middendorf's Vole,0
11595772,2,Lophuromys laticeps,Albertine Rift Brush-furred Rat,
11599064,2,Talpa talyschensis,Talysch Mole,0
11635430,2,Geoxus michaelseni,Michaelsen’s Long-clawed Mouse,
11698233,2,Eospalax rufescens,Qinling Zokor,
11998840,2,Nesogale dobsoni,Dobson's Long-tailed Tenrec,2
