species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2492096,2992176,Spizella pusilla,Field Sparrow,1286787
8169649,2974651,Leiothlypis celata,Orange-crowned Warbler,1291776
9367409,2969977,Sterna hirundo,Common Tern,1401458
9581157,2961173,Certhia americana,Brown Creeper,1370190
7341816,2954482,Setophaga pinus,Pine Warbler,1429505
8104397,2949868,Linaria cannabina,Common Linnet,1546800
2490737,2942038,Turdus pilaris,Fieldfare,140648
7804446,2913319,Haemorhous purpureus,Purple Finch,610
2482414,2907000,Aphelocoma californica,California Scrub-jay,942
2493118,2904633,Acrocephalus scirpaceus,Eurasian Reed Warbler,41153
5229158,2895473,Pelecanus occidentalis,Brown Pelican,1782650
2494543,2874183,Pyrrhula pyrrhula,Eurasian Bullfinch,1252737
2480637,2871310,Accipiter nisus,Eurasian Sparrowhawk,743244
7341822,2855523,Setophaga palmarum,Palm Warbler,1315289
8000602,2841735,Mareca penelope,Eurasian Wigeon,6300
9606290,2816530,Meleagris gallopavo,Wild Turkey,1794977
2481745,2815555,Calidris minutilla,Least Sandpiper,8109
2481047,2805855,Falco peregrinus,Peregrine Falcon,742800
2490494,2789919,Pheucticus ludovicianus,Rose-breasted Grosbeak,1721872
2481714,2775187,Tringa totanus,Common Redshank,1712
2489590,2772706,Seiurus aurocapilla,Ovenbird,1202537
9581438,2770949,Anas rubripes,American Black Duck,1056133
2481800,2747885,Actitis hypoleucos,Common Sandpiper,922
2482598,2741254,Cyanocitta stelleri,Steller's Jay,445
2482755,2726334,Pitangus sulphuratus,Great Kiskadee,2056389
5229167,2723727,Milvus migrans,Black Kite,1024348
2478605,2705488,Sphyrapicus varius,Yellow-bellied Sapsucker,992
2498352,2679252,Somateria mollissima,Common Eider,1173512
5229487,2676160,Pica hudsonia,Black-billed Magpie,358
6101224,2630110,Spilopelia chinensis,Spotted Dove,14191
2498257,2561582,Aythya affinis,Lesser Scaup,1067201
2475532,2546386,Alcedo atthis,Common Kingfisher,85373
2494988,2541171,Psaltriparus minimus,Bushtit / American Bushtit,1147532
2489450,2532678,Gymnorhina tibicen,Australian Magpie,1292720
2489214,2525665,Delichon urbicum,Common House-martin,57195
2481236,2491325,Hydroprogne caspia,Caspian Tern,1356620
2480327,2490901,Pluvialis squatarola,Black-bellied Plover / Gray Plover,27038
2487413,2479601,Vireo griseus,White-eyed Vireo,1153633
2498009,2478836,Tadorna tadorna,Common Shelduck,1011775
2490821,2471926,Catharus ustulatus,Swainson's Thrush,1096678
2474953,2464357,Grus canadensis,Sandhill Crane,1188474
2487871,2456815,Periparus ater,Coal Tit,96049
2481792,2455012,Numenius arquata,Eurasian Curlew,1248894
2474950,2452195,Grus grus,Common Crane,3116
5739315,2450330,Phoenicurus ochruros,Black Redstart,1425650
2492606,2437885,Ficedula hypoleuca,European Pied-flycatcher,711085
2489160,2433996,Riparia riparia,Bank Swallow / Sand Martin,49
2484254,2408974,Sturnella magna,Eastern Meadowlark,996297
2478523,2404210,Picus viridis,European Green-woodpecker,90508
