species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
10853808,195,Hyloxalus italoi,,5
2425577,195,Pristimantis permixtus,,74
2430479,195,Limnonectes macrodon,Malaya Wart Frog,174
2421854,194,Metaphrynella sundana,,169
2429891,194,Natalobatrachus bonebergi,Natal Diving Frog,34
10716997,193,Lissotriton maltzani,Portuguese Smooth Newt,94
2421594,193,Phrynomantis annectens,Red-spotted Namibia Frog,184
2424675,193,Leptobrachium smithi,Smith's Litter Frog,97
2422062,192,Uperodon systoma,Marbled Globular Frog,89
2429046,192,Ameerega picta,Spot-legged Poison Frog,112
2430460,192,Limnonectes leporinus,Giant River Frog,140
5218068,192,Breviceps mossambicus,Flat-faced Frog,161
2427637,191,Osteocephalus leprieurii,Cayenne Slender-legged Treefrog,111
2428032,191,Bokermannohyla hylax,Atlantic Forest Treefrog,90
2429060,191,Silverstoneia nubicola,Boquete Rocket Frog,42
5217643,191,Hyperolius spatzi,,184
2425664,190,Pristimantis calcarulatus,Spurred Robber Frog,29
5218359,190,Eurycea chamberlaini,Chamberlain's Dwarf Salamander,130
12211123,189,Hynobius perplicatus,Cryptic Uiryeong Salamander,151
2425906,189,Barycholos pulcher,Chimbo Frog,11
2428148,189,Pseudacris ornata,Ornate Chorus Frog,88
2430571,189,Craugastor bransfordii,Bransford's Robber Frog,121
2431758,189,Batrachoseps gregarius,Gregarious Slender Salamander,134
8753208,189,Pristimantis buenaventura,Buenaventura Rainfrog,5
8808626,188,Lissotriton graecus,Greek Smooth Newt,97
5218011,187,Boana prasina,Burmeister's Treefrog,31
10860177,186,Chimerella mariaelenae,María Elena's Glassfrog,95
2423181,186,Mantella baroni,Baron's Mantella,116
5217288,186,Rhacophorus lateralis,Small Tree Frog,106
10738717,185,Pachytriton granulosus,Pingchi's Newt,175
2425004,185,Pristimantis boulengeri,Boulenger's Robber Frog,53
5217284,185,Rhacophorus margaritifer,Java Flying Frog,146
10444550,184,Pelobates balcanicus,Balkan Spadefoot,38
10729529,184,Triprion spinosus,Spiny-headed Treefrog,126
2423564,184,Physalaemus gracilis,Graceful Dwarf Frog,132
5218017,184,Phyllobates lugubris,Lovely Poison Frog,156
2425085,183,Pristimantis ortizi,,7
2429137,183,Oophaga histrionica,Harlequin Poison Frog,84
2429179,183,Hyloxalus nexipus,Limón Rocket Frog,103
2429919,183,Tomopterna tandyi,Tandy's Sand Frog,132
2429268,182,Hyloxalus sauli,Santa Cecilia Rocket Frog,0
2422884,181,Anaxyrus exsul,Black Toad,159
2426573,181,Afrixalus delicatus,Delicate Leaf-folding Frog,143
2425426,180,Pristimantis supernatis,El Carmelo Robber Frog,13
12236337,179,Leptodactylus paranaru,,133
2431508,179,Plethodon larselli,Larch Mountain Salamander,166
5218362,179,Eurycea aquatica,Brown-backed Salamander,113
5218406,179,Lissotriton italicus,Italian Newt,48
9612803,179,Limnonectes conspicillatus,Broad-headed Creek Frog,59
10677799,177,Bufotes cypriensis,Cyprus Green Toad,50
2424599,177,Myobatrachus gouldii,Turtle Frog,82
2426618,177,Discoglossus scovazzi,Moroccan Painted Frog,51
2429385,176,Nymphargus cochranae,Cochran Frog,29
5217692,176,Hyperolius kivuensis,Kivu Reed Frog,157
9103445,176,Gastrotheca lojana,,7
11194989,175,Pristimantis rupicola,,
2427624,175,Osteocephalus mutabor,Pucuno Slender-legged Treefrog,50
2429508,174,Allophryne ruthveni,Tukeit Hill Frog,74
2424631,173,Uperoleia littlejohni,Littlejohn’s Toadlet,36
2425286,173,Pristimantis chloronotus,Green Robber Frog,0
2428973,173,Colostethus inguinalis,Common Rocket Frog,145
5217245,173,Rhacophorus rhodopus,Red-webbed Treefrog,135
2424638,172,Uperoleia martini,Martin’s Toadlet,12
2425024,172,Pristimantis martiae,Martia Robber Frog,5
2431846,172,Paramesotriton chinensis,Chinese Warty Newt,171
10625685,171,Pristimantis lutzae,Lutz’s Rain Frog,1
2429556,171,Neobatrachus pelobatoides,Humming Frog,99
5217514,171,Leptodactylus chaquensis,,
9261525,171,Atelopus hoogmoedi,Hoogmoed Harlequin Toad,64
12201705,170,Mixophyes australis,,
2421812,170,Cophixalus infacetus,Inelegant Frog,95
2424406,170,Thoropa taophora,,11
2425702,170,Pristimantis andinognomus,Andean Dwarf Robber Frog,2
10835015,169,Indosylvirana temporalis,,
2431236,169,Desmognathus santeetlah,Santeetlah Dusky Salamander,111
8840282,169,Kalophrynus meizon,Borneo Big Sticky Frog,149
5217388,168,Rhinoderma darwinii,Southern Darwin's Frog,131
9985475,168,Pristimantis multicolor,Multicolored Rain Frog,1
9993678,168,Pelophylax cypriensis,Cyprus Water Frog,73
10096654,167,Micryletta erythropoda,Mada Paddy Frog,118
10876767,167,Aquiloeurycea cafetalera,Coffee Grove Salamander,30
2429560,167,Neobatrachus kunapalari,Kunapalari Frog,42
2431328,167,Bolitoglossa equatoriana,Ecuador Mushroomtongue Salamander,6
2431478,167,Plethodon nettingi,Cheat Mountain Salamander,66
5216570,167,Chaperina fusca,Saffron-bellied Frog,117
2423310,166,Aglyptodactylus madagascariensis,Madagascar Jumping Frog,112
2424680,166,Leptobrachium abbotti,Abbott’s Litter Frog,132
10883552,165,Ololygon hiemalis,Sousas Snouted Treefrog,5
2423793,165,Polypedates mutus,Burmese Whipping Frog,8
2429917,165,Tomopterna marmorata,Russet-backed Sand Frog,135
11512758,164,Desmognathus adatsihi,,
2428942,164,Heleophryne purcelli,Cape Ghost Frog,26
2429580,164,Limnodynastes lignarius,Woodworker Frog,21
10679529,163,Crinia flindersensis,Northern Flinders Ranges Froglet,55
2423462,163,Pleurodema diplolister,Peters' Four-eyed Frog,143
2423557,163,Physalaemus albonotatus,Menwig Frog,60
2429913,162,Tomopterna cryptotis,Tremolo Sand Frog,78
5217770,162,Amolops wuyiensis,Sanchiang Sucker Frog,143
8577897,162,Rhaebo ecuadorensis,,12
2424412,161,Hylorina sylvatica,Emerald Forest Frog,138
2428323,161,Hyloscirtus larinopygion,Cordillera Central Treefrog,80
2429561,161,Neobatrachus aquilonius,Northern Burrowing Frog,17
5217528,161,Leptodactylus didymus,Madre De Dios Thin-toed Frog,81
5218106,161,Hylodes phyllodes,Boraceia Tree Toad,25
10643110,160,Oophaga solanensis,,148
11833099,160,Atelopus spec,,
2425699,160,Pristimantis urichi,Lesser Antilles Robber Frog,119
2427146,160,Lithobates bwana,Rio Chipillico Frog,30
2429570,160,Philoria richmondensis,Richmond Frog,85
2431471,160,Pseudotriton diastictus,Midland Mud Salamander,112
10382770,159,Scinax tymbamirim,,113
10752319,159,Philautus macroscelis,,148
5217378,159,Eupsophus emiliopugini,Emilio's Ground Frog,132
2423573,158,Physalaemus albifrons,Bahia Dwarf Frog,149
2425689,157,Pristimantis sobetes,Sobetes Robber Frog,12
2428044,157,Bokermannohyla circumdata,Espirito Santo Treefrog,66
2430420,157,Fejervarya sakishimensis,Sakishima Rice Frog,125
2430465,157,Limnonectes microdiscus,Indonesia Wart Frog,133
2424828,156,Ischnocnema henselii,,81
2425406,156,Pristimantis cerasinus,Limon Robber Frog,69
2429808,156,Leiopelma hochstetteri,Hochstetters New Zealand Frog,149
2424008,155,Diasporus tinker,,40
2425386,155,Pristimantis piceus,,12
2427893,155,Litoria longirostris,Scrub Rocket Frog,0
5217805,155,Amolops marmoratus,Marbled Sucker Frog,117
9032203,154,Centrolene savagei,Savage's Cochran Frog,84
2425006,153,Pristimantis factiosus,,7
2427017,153,Amnirana albolabris,,
2430461,153,Limnonectes paramacrodon,Lesser Swamp Frog,97
2429105,152,Ranitomeya reticulata,Red-backed Poison Frog,102
2430635,152,Craugastor alfredi,Alfred's Rainfrog,17
2431496,152,Plethodon caddoensis,Caddo Mountain Salamander,77
2428194,151,Agalychnis saltator,Misfit Leaf Frog,103
9261957,151,Pristimantis churuwiai,Chruruwia’s Rainfrog,3
10820259,150,Ololygon perpusilla,Bandeirantes Snouted Treefrog,72
2430725,150,Craugastor aurilegulus,,102
4817022,150,Megophrys boettgeri,Boettger's Spadefoot Toad,142
11118957,149,Pristimantis petersioides,,
2425309,148,Pristimantis walkeri,Walker's Robber Frog,6
2425530,148,Pristimantis versicolor,Loja Robber Frog,17
2426813,148,Rana ornativentris,Montane Brown Frog,110
2431860,148,Cynops orientalis,,
5216669,148,Atelopus ignescens,Arlequín Jambato,70
10805331,147,Odorrana huanggangensis,Huanggang Odorous Frog,130
10871396,147,Sclerophrys camerunensis,Oban Toad,14
2425619,147,Pristimantis galdi,Espada's Robber Frog,29
2430757,147,Craugastor pygmaeus,Pygmy Free-fingered Frog,48
2431479,147,Plethodon sherando,Big Levels Salamander,51
7405227,147,Pristimantis minimus,,0
10877877,146,Boana steinbachi,,36
5216641,146,Atelopus bomolochos,Azuay Jambato Frog,1
5217210,146,Chiromantis rufescens,African Foam-nest Treefrog,76
10324713,145,Pristimantis gloria,Gloria’s Rain Frog,0
2428277,145,Tlalocohyla picta,Painted Treefrog,66
2428622,145,Aparasphenodon brunoi,,
2430139,145,Phrynobatrachus acridoides,Cope's Toad-frog,113
2430454,145,Limnonectes hascheanus,Hill Forest Frog,118
5216636,145,Atelopus spurrelli,Condoto Stubfoot Toad,125
5216847,145,Rhinella hoogmoedi,,96
2429872,144,Crossodactylus caramaschii,,14
2430450,144,Limnonectes modestus,Moluccas Wart Frog,4
5217425,144,Brachycephalus ephippium,Pumpkin Toadlet,19
8829266,144,Plethodon dixi,Dixie Caverns Salamander,80
2422419,143,Incilius porteri,,122
2425674,143,Pristimantis calcaratus,San Antonio Robber Frog,126
2430951,143,Typhlonectes compressicauda,Cayenne Caecilian,9
10774023,142,Boana maculateralis,Stained Treefrog,40
2425146,142,Pristimantis lynchi,Lynch's Robber Frog,99
8428241,142,Hyalinobatrachium cappellei,Banded-limb Glassfrog,20
9584714,142,Hyperolius drewesi,,
10813973,141,Gastrophryne mazatlanensis,Sinaloan Narrow-mouthed Toad,85
10868137,141,Raorchestes akroparallagi,Variable Bush Frog,79
2422184,141,Ingerophrynus parvus,Dwarf Lesser Stream Toad,77
2427210,141,Odorrana narina,Ryukyu Island Frog,135
2424632,140,Uperoleia micromeles,Tanami Toadlet,1
2426915,140,Pulchrana picturata,Spotted Stream Frog,110
2430379,140,Hoplobatrachus crassus,Jerdon's Bullfrog,94
5216995,140,Rhinella proboscidea,,67
2423460,139,Pleurodema bufoninum,Large Four-eyed Frog,103
2425257,139,Pristimantis ocreatus,Carchi Robber Frog,0
2425646,139,Pristimantis peraticus,Tenerife Robber Frog,9
2423571,138,Physalaemus nanus,Santa Catharina Dwarf Frog,86
2429707,138,Leptopelis flavomaculatus,Johnston's Treefrog,107
5217632,138,Hyperolius substriatus,Spotted Reed Frog,125
2422193,137,Osornophryne antisana,Napo Plump Toad,8
2423542,137,Physalaemus olfersii,Atlantic Forest Dwarf Frog,41
11908038,136,Pristimantis ventristellatus,,
2428125,136,Pseudacris kalmi,New Jersey Chorus Frog,92
8494509,136,Elachistocleis muiraquitan,Acre's Oval Frog,78
10050363,135,Agalychnis lemur,Lemur Leaf Frog,93
2428370,135,Pseudis platensis,,77
2429595,135,Heleioporus barycragus,Western Marsh Frog,92
5785933,135,Pseudophilautus amboli,Amboli Bush Frog,89
11192183,134,Pithecopus gonzagai,,92
12203729,134,Hynobius notialis,Southern Korean Salamander,80
2430811,134,Craugastor talamancae,Almirante Robber Frog,59
5217956,134,Trachycephalus resinifictrix,Mission Golden-eyed Treefrog,35
9601839,134,Uperodon rohani,Rohan's Globular Frog,106
9801018,134,Leptophryne borbonica,Hour-glass Slender Toad-cross Toad,57
2425317,133,Pristimantis tamsitti,San Adolfo Robber Frog,34
2431239,133,Desmognathus apalachicolae,Apalachicola Dusky Salamander,64
5217884,133,Scinax crospedospilus,Campo Belo Snouted Treefrog,11
5218122,133,Hylodes asper,Warty Tree Toad,60
2428628,132,Ptychohyla hypomykter,Copan Stream Frog,76
2429299,132,Hyalinobatrachium aureoguttatum,Atrato Glass Frog,59
5218010,132,Boana lundii,Lund's Treefrog,53
10694929,131,Chalcorana megalonesa,Large White-lipped Frog,110
10700673,131,Feihyla kajau,White-eared Tree Frog,123
10830405,131,Zhangixalus owstoni,Japanese Flying Frog,111
5217523,131,Leptodactylus myersi,Myers' Thin-toed Frog,49
9372332,131,Sylvirana malayana,,
10851575,130,Latonia nigriventer,Hula Painted Frog,57
11748734,130,Pristimantis relictus,,
2425115,130,Pristimantis esmeraldas,,17
2425873,130,Niceforonia nana,Santander Andes Frog,60
2426861,130,Sylvirana spinulosa,,
2429555,130,Neobatrachus sutor,Shoemaker Frog,18
2431180,130,Rhyacotriton olympicus,Olympic Torrent Salamander,85
10874085,129,Agalychnis hulli,,48
2423387,129,Boophis viridis,Green Bright-eyed Frog,73
2427318,129,Meristogenys jerboa,Gunther's Borneo Frog,115
2429889,129,Poyntonia paludicola,Kogelberg Reserve Frog,119
2431161,129,Hynobius arisanensis,Arisan Hynobiid,78
2431534,129,Plethodon aureolus,Tellico Salamander,26
9246542,129,Dendropsophus kamagarini,,40
10884724,128,Hydrophylax gracilis,,
2424571,128,Pseudophryne occidentalis,Orange-crowned Toadlet,48
2431208,128,Desmognathus planiceps,Flat-headed Salamander,61
10200483,127,Plethodon jacksoni,Blacksburg Salamander,50
2422396,127,Incilius macrocristatus,Large-crested Toad,0
2425486,126,Pristimantis delius,,8
2426648,126,Pelophylax epeiroticus,Epirus Water Frog,28
2428557,126,Dendropsophus elianeae,,3
5217850,126,Scinax cruentomma,Manaus Snouted Treefrog,22
2425765,125,Pristimantis katoptroides,,52
2428426,125,Dendropsophus bokermanni,Bokermann's Tarauaca Treefrog,6
2431296,125,Bolitoglossa hypacra,Paramo Frontino Salamander,1
10688948,124,Pithecopus palliatus,Jaguar Leaf Frog,69
2425434,124,Pristimantis atratus,Santiago Robber Frog,0
2428689,124,Smilisca cyanosticta,Blue-spotted Mexican Treefrog,44
7465076,124,Andinobates minutus,Bluebelly Poison Frog,45
9630922,124,Amazophrynella minuta,,8
2426298,123,Allobates kingsburyi,Kingsbury's Rocket Frog,0
5217527,123,Leptodactylus rhodonotus,Peru White-lipped Frog,39
9104611,123,Pristimantis tungurahua,,119
2425828,122,Pristimantis crenunguis,Spring Robber Frog,15
2425908,122,Barycholos ternetzi,Chimbo Frog,90
2429904,122,Cacosternum platys,Smooth Dainty Frog,116
5218082,122,Breviceps fuscus,Black Rain Frog,15
10880198,121,Chalcorana parvaccola,,104
11701322,121,Elachistocleis sikuani,,
2425797,121,Pristimantis reichlei,Reichle's Robber Frog,55
2425803,121,Pristimantis festae,Shy Robber Frog,11
7995774,121,Leptodactylus guianensis,Guiana Thin-toed Frog,48
10868868,120,Dryophytes walkeri,Walker's Treefrog,23
2422531,120,Duttaphrynus himalayanus,Himalayan Toad,80
2428969,120,Colostethus jacobuspetersi,,0
2429020,120,Ameerega flavopicta,Yellow-painted Poison-arrow Frog,61
10815352,119,Pristimantis ramagii,Paraiba Robber Frog,74
10838752,119,Pithecopus azureus,,58
2425666,119,Pristimantis gagliardoi,,0
2431258,119,Bolitoglossa lozanoi,,77
2431771,119,Batrachoseps wrighti,Oregon Slender Salamander,69
10710925,118,Glyphoglossus guttulatus,Burmese Squat Frog,104
2424611,118,Taudactylus acutirostris,Sharp Snouted Day Frog,0
2426515,118,Semnodactylus wealii,Weal's Frog,101
2427974,118,Phyllomedusa tetraploidea,Hidden Walking Leaf Frog,42
10837142,117,Nidirana mangveni,,
2424879,117,Ischnocnema parva,Girard's Robber Frog,18
2425137,117,Pristimantis orpacobates,,57
2428175,117,Pseudacris brimleyi,Brimley's Chorus Frog,55
5217576,117,Leptodactylus furnarius,Potter Foam Frog,6
10809352,116,Boana polytaenia,Cope's Eastern Paraguay Treefrog,19
10815453,116,Zhangixalus prominanus,Jor Flying Frog,93
10896287,116,Ololygon rizibilis,Santo Andre Snouted Treefrog,47
2425436,116,Pristimantis devillei,Deville's Robber Frog,3
2426776,116,Rana pretiosa,Oregon Spotted Frog,46
2429717,116,Leptopelis bocagii,Bocage's Frog,107
2431294,116,Bolitoglossa altamazonica,Nauta Salamander,40
2431518,116,Plethodon kentucki,Cumberland Plateau Salamander,58
5217869,116,Scinax nebulosus,Spix's Snouted Treefrog,49
5218079,116,Breviceps poweri,Power's Rain Frog,104
10732942,115,Trachycephalus macrotis,Amazonian Milk Frog,31
2422152,115,Melanophryniscus montevidensis,Montevideo Redbelly Toad,66
2424057,115,Eleutherodactylus cystignathoides,Rio Grande Chirping Frog,51
2424695,115,Leptobrachium montanum,Montane Litter Frog,87
2425430,115,Pristimantis gutturalis,Lower Matarony Robber Frog,27
2425494,115,Pristimantis carvalhoi,Carvalho's Robber Frog,10
2426319,115,Allobates juanii,,78
2431827,115,Calotriton arnoldi,Montseny Brook Newt,6
5216646,115,Atelopus varius,Variable Harlequin Frog,55
9325706,115,Hydromantes samweli,Samwel Shasta Salamander,87
10753231,114,Ranoidea bella,,
10848467,114,Boana nympha,Nympha Amazon Treefrog,23
2423713,114,Philautus aurifasciatus,Java Bubble-nest Frog,92
2430685,114,Craugastor podiciferus,Cerro Utyum Robber Frog,49
2426316,113,Allobates granti,Black-flanked Poison Frog,70
2428937,113,Hadromophryne natalensis,Cascade Frog,97
2430588,113,Craugastor laticeps,Broad-headed Cave Frog,14
2432025,113,Dicamptodon copei,Cope's Giant Salamander,73
5218012,113,Hildebrandtia ornata,Ornate Frog,81
