species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
4286294,13,Cosmocampus arctus,Snubnose Pipefish,1
5201129,13,Hippocampus sindonis,Sindo's Seahorse,2
2347075,13,Photonectes dinema,,0
2347533,13,Polyipnus unispinus,Onespine Hatchetfish,2
2347543,13,Polyipnus kiwiensis,Kiwi Hatchetfish,0
5203261,13,Eustomias filifer,,0
2307256,13,Haplognathia gubbarnorum,,
2351777,13,Mastacembelus decorsei,,
5204056,13,Macrognathus caudiocellatus,,
2410286,13,Stephanoberyx monae,Pricklefish,0
2410292,13,Gibberichthys pumilus,Gibberfish,0
4555562,13,Coomansus parvus,,
2281770,13,Pontonema vulgare,,
2281864,13,Thalassoalaimus brasiliensis,,
2281875,13,Nemanema cylindraticaudatum,,
2282157,13,Paramesacanthion oxycephalum,,
2282186,13,Enoplolaimus vulgaris,,
2282196,13,Enoplolaimus longicaudatus,,
5188470,13,Anoplostoma exceptum,,
5188509,13,Bathylaimus macramphis,,
10778229,13,Garra sharq,,
2358538,13,Physoschistura shanensis,,4
2359535,13,Rasbora rubrodorsalis,,10
2359634,13,Rasbora steineri,,13
2360531,13,Pectenocypris korthausae,,1
2360911,13,Barboides britzi,,
2361438,13,Achondrostoma salmantinum,,0
2361903,13,Lepidomeda aliciae,Southern Leatherside Chub,13
2362238,13,Notropis chihuahua,Chihuahua Shiner,0
2363028,13,Alburnus mandrensis,Mandras Shemaya,0
2363174,13,Raiamas kheeli,,0
2363545,13,Telestes fontinalis,Krbava Dace,0
2363797,13,Phenacobius teretulus,Kanawha Minnow,10
2365380,13,Chrosomus cumberlandensis,Blackside Dace,13
2366815,13,Garra lissorhynchus,Khasi Garra,3
2366939,13,Garra borneensis,,5
2367900,13,Koreocobitis naktongensis,,
5205395,13,Psilorhynchus balitora,Balitora Minnow,12
5205692,13,Ptychocheilus lucius,Colorado Pikeminnow,9
7564873,13,Anematichthys repasson,,
8757153,13,Garra fluviatilis,,
9299851,13,Enteromius bawkuensis,,0
9381521,13,Enteromius treurensis,Treur River Barb,8
9422840,13,Enteromius holotaenia,Spotscale Barb,13
9676059,13,Alburnoides strymonicus,Strymon Spirlin,2
2351290,13,Salvelinus taranetzi,,0
5203998,13,Thymallus brevirostris,Mongolian Grayling,
5816794,13,Thymallus baicalensis,,
10798248,13,Rostroraja texana,Roundel Skate,
2418311,13,Mustelus palumbes,Whitespotted Smooth-hound,
2418435,13,Apristurus riveri,Broadgill Catshark,0
2418480,13,Apristurus parvipinnis,Smallfin Catshark,0
2418529,13,Halaelurus lineatus,Lined Catshark,2
2418813,13,Sphyrna tudes,Smalleye Hammerhead,0
2420071,13,Psammobatis rutrum,Spade Sandskate,0
5216236,13,Gymnura zonura,Zonetail Butterfly Ray,0
9321767,13,Pateobatis bleekeri,Bleeker's Whipray,3
9354970,13,Beringraja pulchra,Mottled Skate,
9356195,13,Fontitrygon ukpam,Thorny Whipray,3
2417340,13,Chimaera jordani,Jordan’s Chimaera,1
11168348,12,Obama eudoximariae,,
2502812,12,Australopacifica splendens,,
6477009,12,Kontikia andersoni,,
8962907,12,Barreirana barreirana,,
6477644,12,Plagiostomum stellatum,,
4554475,12,Xiphinema brevicolle,,
4554692,12,Eudorylaimus leuckarti,,
4554773,12,Microdorylaimus parvus,,
4554876,12,Epidorylaimus pseudoagilis,,
6484817,12,Eudorylaimus antarcticus,,
2403104,12,Acromycter nezumi,,0
2403215,12,Ariosoma gilberti,Sharpnose Conger,4
2403363,12,Bathycongrus vicinalis,Neighbor Conger,4
2403376,12,Bathycongrus guttulatus,Lined Conger,0
2403404,12,Paraconger notialis,Guinean Conger,7
2403968,12,Gymnothorax dorsalis,,
2403972,12,Gymnothorax robinsi,Pygmy Moray,9
2404437,12,Phyllophichthus xenodontus,Flappy Snake-eel,2
2405383,12,Cynoponticus coniceps,Conehead Eel,12
5788303,12,Ariosoma prorigerum,Slope Conger,8
6166510,12,Protanguilla palau,Palauan Primitive Cave Eel,0
8034878,12,Neenchelys parvipectoralis,Mini-fin Worm Eel,1
10888852,12,Melanotaenia susii,Susi Rainbowfish,0
2412276,12,Poblana alchichica,Alchichica Silverside,8
2412449,12,Chirostoma chapalae,Smallmouth Silverside,0
2401370,12,Bathypterois filiferus,Bighanded Feelerfish,0
2368374,12,Oryzias uwai,,3
2368934,12,Rhynchorhamphus malabaricus,,
5207920,12,Cypselurus angusticeps,Narrowhead Flyingfish,
5207971,12,Cheilopogon spilopterus,Manyspotted Flyingfish,
5961083,12,Oryzias sarasinorum,,
2352227,12,Hoplias australis,,5
2352670,12,Hemibrycon dariensis,,3
2353447,12,Metynnis mola,Silver Dollar,1
2354199,12,Galeocharax gulo,,0
2354541,12,Hyphessobrycon panamensis,Panama Tetra,2
2354735,12,Pseudocorynopoma doriae,Dragon-fin Tetra,12
2355431,12,Leporinus elongatus,,
2355618,12,Lebiasina multimaculata,,11
2356421,12,Nannopetersius mutambuei,,
5204380,12,Astyanax rivularis,,12
5962443,12,Astyanax dissimilis,,0
8180826,12,Hyphessobrycon dorsalis,,10
2412776,12,Ramnogaster melanostoma,Uruguay River Sprat,3
2413942,12,Anchoa compressa,Deepbody Anchovy,12
2414077,12,Thryssa malabarica,Malabar Thryssa,6
2347630,12,Ilyodon whitei,Balsas Splitfin,5
2348859,12,Epiplatys fasciolatus,Banded Epiplatys,9
2349719,12,Tomeurus gracilis,Guppy,1
2350143,12,Priapella intermedia,Isthmian Priapella,0
2350496,12,Poeciliopsis elongata,Elongate Toothcarp,2
2350622,12,Gambusia panuco,Panuco Gambusia,0
5203847,12,Poecilia dominicensis,Domingo Molly,1
5203900,12,Micropoecilia bifurca,,
7193335,12,Anablepsoides rubrolineatus,,9
7193368,12,Cynodonichthys elegans,,11
8375646,12,Scriptaphyosemion wieseae,,
2415421,12,Muraenolepis orangiensis,Patagonian Moray Cod,
2416115,12,Coelorinchus productus,,
2416251,12,Coelorinchus hexafasciatus,Six-band Grenadier,
2416338,12,Coelorinchus occa,Swordsnout Grenadier,7
2416386,12,Coelorinchus doryssus,,
2416854,12,Lucigadus nigromarginatus,,
5215121,12,Hymenocephalus aterrimus,Blackest Whiptail,0
7193740,12,Macrourus caml,,
11168868,12,Anisotremus perezponcedeleoni,Ponce De Leon’s Grunt,4
11196106,12,Mullus ponticus,,
12211744,12,Coradion calendula,Orange-tailed Coralfish,
2370429,12,Bathybates fasciatus,,0
2370934,12,Crenicichla lepidota,Pike Cichlid,0
2371113,12,Gymnogeophagus australis,,10
2371287,12,Apistogramma eunotus,,0
2371830,12,Neolamprologus furcifer,,0
2372290,12,Oreochromis schwebischi,,10
2372527,12,Otopharynx auromarginatus,Golden-margined Hap,0
2372562,12,Tropheus annectens,,0
2372981,12,Telmatochromis bifrenatus,Two Banded Cichlid,12
2373366,12,Haplochromis schubotziellus,,10
2373433,12,Haplochromis labiatus,,12
2373680,12,Haplochromis chromogynos,,1
2375111,12,Amblycirrhitus unimacula,,0
2375456,12,Stonogobiops medon,Sentinel Shrimpgoby,1
2375695,12,Knipowitschia mermere,Gediz Dwarf Goby,5
2376167,12,Eviota sparsa,Speckled Dwarfgoby,2
2376849,12,Mugilogobius wilsoni,Wilson’s Goby,5
2376990,12,Periophthalmus darwini,,0
2377648,12,Rhinogobius mekongianus,,8
2377689,12,Favonigobius opalescens,,7
2377735,12,Stigmatogobius pleurostigma,,5
2378252,12,Silhouettea dotui,,12
2378566,12,Trimma hayashii,Four-eye Pygmy Goby,4
2378567,12,Trimma woutsi,Wouter's Dwarfgoby,0
2378625,12,Trimma agrena,Fishnet Pygmy Goby,1
2380239,12,Ophiclinus ningulus,Variable Snake-blenny,9
2380359,12,Cologrammus flavescens,Short-tassel Weedfish,8
2380474,12,Maccullochella ikei,Eastern Freshwater Cod,4
2381222,12,Girella albostriata,,
2381325,12,Kyphosus lutescens,Revillagigedo Sea Chub,11
2381425,12,Neoclinus nudus,,11
2381448,12,Emblemariopsis occidentalis,Redspine Blenny,0
2381566,12,Neoscombrops pacificus,,
2381650,12,Pseudochromis steenei,Fiery Dottyback,0
2381674,12,Pseudochromis persicus,Bluespotted Dottyback,10
2382038,12,Percina williamsi,Sickle Darter,12
2382317,12,Etheostoma rubrum,Bayou Darter,2
2382935,12,Pomadasys andamanensis,Andaman Grunt,0
2383351,12,Iniistius auropunctatus,,12
2383819,12,Cirrhilabrus aurantidorsalis,Orange-back Wrasse,9
2384074,12,Halichoeres aestuaricola,Mangrove Wrasse,10
2386020,12,Crystallodytes cookei,South Pacific Sandburrower,12
2386032,12,Creedia haswelli,,
2386702,12,Synchiropus atrilabiatus,Blacklip Dragonet,6
2387558,12,Pseudanthias connelli,,9
2387872,12,Liopropoma latifasciatum,Blackstripe Basslet,0
2387928,12,Hypoplectrodes semicinctum,,
2388685,12,Lepidoperca occidentalis,,
2388688,12,Lepidoperca tasmanica,,
2389493,12,Malacoctenus zacae,Zaca Blenny,12
2389541,12,Starksia guttata,Spotted Blenny,0
2389630,12,Paraclinus sini,Flapscale Blenny,4
2389924,12,Champsocephalus esox,Pike Icefish,1
2391454,12,Channa aurantimaculata,Orangespotted Snakehead,7
2391639,12,Microctenopoma ansorgii,Orange Ctenopoma,2
2391832,12,Opistognathus castelnaui,Castelnau’s Jawfish,0
2391834,12,Opistognathus solorensis,Solor Jawfish,7
2392172,12,Cheilodactylus zebra,,
2392271,12,Acanthopagrus sivicolus,Okinawa Seabream,11
2392762,12,Apopterygion oculus,Ocellate Triplefin,12
2392774,12,Ceratobregma helenae,Striped Spiny-eye Triplefin,11
2392839,12,Axoclinus nigricaudus,Cortez Triplefin,5
2393183,12,Lates angustifrons,Tanganyika Lates,0
2393252,12,Spicara melanurus,Blackspot Picarel,8
2395620,12,Alticus montanoi,Montano's Rockskipper,12
2395629,12,Entomacrodus strasburgi,,11
2396078,12,Ecsenius ops,Yellow-eye Combtooth Blenny,11
2396082,12,Ecsenius tricolor,Derawan Combtooth Blenny,11
2396579,12,Chaetodontoplus ballinae,Ballina Angelfish,5
2397485,12,Siphamia tubulata,Seaurchin Cardinal,
2398319,12,Pomacentrus yoshii,,
2398540,12,Neopomacentrus taeniurus,Freshwater Damselfish,7
