species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2442549,43,Nilssonia nigricans,Black Softshell Turtle,18
5960965,43,Staurotypus salvinii,Chiapas Giant Musk Turtle,41
2443842,42,Ophryacus undulatus,Mexican Horned Pit Viper,41
2446410,42,Goniurosaurus bawanglingensis,Bawangling Leopard Gecko,41
2446584,42,Rhacodactylus leachianus,"Leach's Giant Gecko, New-caledonian Giant Gecko",
2447349,42,Gekko similignum,,39
2449548,42,Pseudechis colletti,Collett's Snake,22
2450920,42,Anadia rhombifera,Rhombifer Anadia,33
2452196,42,Amastridium veliferum,Rufous-headed Snake,34
2452285,42,Rhabdophis himalayanus,Orange-collared Keelback,25
2456613,42,Tropidodipsas fasciata,Banded Snail Sucker,40
2458209,42,Achalinus formosanus,Formosa Odd-scaled Snake,25
2460362,42,Liolaemus multimaculatus,Many-spotted Tree Iguana,38
2463187,42,Cyclodomorphus celatus,Western Slender Blue-tongue,24
2465373,42,Python brongersmai,Blood Python,38
2466300,42,Phrynocephalus ornatus,Striped Toad Agama,0
2467947,42,Anolis brasiliensis,Brazilian Anole,39
2468771,42,Darevskia valentini,Caucasian Rock Lizard,37
5221997,42,Furcifer willsii,Wills’ Chameleon,35
5223270,42,Urotheca fulviceps,,33
5223438,42,Dipsas vermiculata,Vermiculate Snail-eater,37
5224878,42,Strobilurus torquatus,,40
5225954,42,Trapelus flavimaculatus,Yellow-spotted Agama,41
5789505,42,Montivipera raddei,Caucasus Viper,40
5789550,42,Phoenicolacerta kulzeri,Kulzer's Rock Lizard,42
5959831,42,Phyllodactylus palmeus,Honduran Leaf-toed Gecko,34
7659929,42,Bothrops marmoratus,Marbled Lancehead,39
8275265,42,Philodryas agassizii,Burrowing Night Snake,34
8660003,42,Cnemidophorus duellmani,,
9276921,42,Anilios guentheri,Top End Blind Snake,2
9398448,42,Palleon nasus,Eiongate Leaf Chameleon,33
12182477,41,Varanus ocreatus,Storr's Monitor,
2446276,41,Gehyra occidentalis,Kimberley Plateau Dtella,4
2447242,41,Coleonyx fasciatus,Black Banded Gecko,41
2450027,41,Neelaps calonotus,Black-striped Burrowing Snake,
2450580,41,Echinosaura palmeri,Palmer's Teiid,26
2453223,41,Plagiopholis nuchalis,Assam Mountain Snake,38
2453364,41,Ahaetulla fasciolata,Speckled-headed Whip Snake,40
2457296,41,Chironius laurenti,,38
2457769,41,Lycophidion variegatum,Variegated Wolf Snake,11
2457818,41,Leioheterodon geayi,,28
2458250,41,Sibon argus,Argus Snail Sucker,17
2460260,41,Liolaemus forsteri,Forster's Tree Iguana,37
2463684,41,Sigaloseps deplanchei,Deplanche's Skiny Skink,5
2464745,41,Lerista lineopunctulata,Dotted-line Robust Slider,4
2466585,41,Salea horsfieldii,Horsfield's Spiny Lizard,39
2467701,41,Anolis matudai,Matuda's Anole,8
2469792,41,Pedioplanis breviceps,Short-headed Sandveld Lizard,23
2469818,41,Sinomicrurus hatori,,
5224971,41,Microlophus koepckeorum,,37
5225440,41,Trachylepis punctulata,Speckled Skink,18
5959578,41,Xenodon werneri,,27
5959852,41,Phyllodactylus galapagensis,Galapagos Leaf-toed Gecko,14
6066786,41,Lucasium alboguttatum,White-spotted Ground Gecko Wa,31
7434392,41,Charina umbratica,Southern Rubber Boa,33
7517559,41,Anolis zeus,,35
7538274,41,Liolaemus torresi,Dragon Of Torres-mura,37
7639911,41,Lycophidion multimaculatum,Cape Wolf Snake,31
8035494,41,Enyalioides touzeti,Touzet's Woodlizard,37
8103773,41,Liolaemus zullyae,,40
8211535,41,Takydromus luyeanus,,30
9361424,41,Anilios ammodytes,,2
9632667,41,Cnemidophorus splendidus,Blue Rainbow Lizard,
2442982,41,Trachemys yaquia,Yaqui Slider,41
10811760,40,Lygodactylus incognitus,Cryptic Dwarf Gecko,15
11158521,40,Calliophis nigrotaeniatus,Banded Malaysian Coral Snake,
11178833,40,Lygisaurus rimula,Crevice Rainbow-skink,0
11664115,40,Craspedocephalus travancoricus,,
2445346,40,Sphaerodactylus continentalis,Upper Central American Geckolet,
2447535,40,Rhoptropella ocellata,Namaqua Day Gecko,16
2448203,40,Aristelliger lar,Hispaniolan Giant Croaking Gecko,37
2448719,40,Melanophidium wynaudense,Indian Black Earth Snake,40
2451560,40,Tracheloptychus petersi,Peters' Keeled Cordylid,35
2451763,40,Lepidophyma sylvaticum,Madrean Tropical Night Lizard,37
2451782,40,Lepidophyma smithii,Smiths Tropical Night Lizard,30
2452352,40,Pseudoxenodon bambusicola,Bamboo Snake,40
2455460,40,Xylophis perroteti,Perrotet's Dwarf Snake,40
2461642,40,Typhlosaurus vermis,Boulenger's Legless Skink,8
2464811,40,Chioninia spinalis,,28
2466165,40,Uromastyx benti,Bent's Mastigure,37
2466959,40,Anolis poncensis,Dryland Grass Anole,29
2467038,40,Anolis olssoni,Monte Cristi Anole,20
2467240,40,Anolis baleatus,Dominican Giant Anole,29
2467967,40,Anolis bombiceps,Blue-lipped Forest Anole,28
2469287,40,Mesalina balfouri,,16
2469729,40,Ophisops jerdonii,Jerdon's Snake Eye,22
2470388,40,Naja samarensis,Peters' Cobra,32
5221210,40,Pachydactylus tigrinus,Tiger (Thick-toed) Gecko,18
5222178,40,Laticauda frontalis,Yellow-lipped Sea Snake,36
5223128,40,Platyceps ventromaculatus,Glossy-bellied Racer,27
5223917,40,Atractus carrioni,Parker's Ground Snake,21
5224842,40,Tropidurus hygomi,Reinhardt's Lava Lizard,37
5225371,40,Trachylepis megalura,Grass Skink,30
5959897,40,Hemidactylus homoeolepis,Arabian Leaf-toed Gecko,14
6066613,40,Phelsuma parva,,36
7509424,40,Eutropis macrophthalma,,29
7520993,40,Oedura bella,Gulf Marbled Velvet Gecko,13
7531217,40,Chamaeleo necasi,Necas's Chameleon,
7818605,40,Cyrtodactylus bidoupimontis,Bidoup Bent–toed Gecko,23
7848380,40,Cyrtodactylus australotitiwangsaensis,Southern Titiwangsa Bent-toed Gecko,34
8197332,40,Protobothrops maolanensis,Mao-lan Pitviper,
8306698,40,Epictia munoai,Rio Grande Do Sul Blind Snake,38
8385559,40,Brasiliscincus agilis,,40
8915945,40,Anolis poei,Telimbela Anole,16
2445740,39,Uroplatus giganteus,Giant Leaf-tail Gecko,35
2447290,39,Asaccus gallagheri,Gallagher's Gecko,14
2457114,39,Chrysopelea taprobanica,Indian Flying Snake,28
2459366,39,Dendrelaphis striatus,Cohn�s Bronzeback,36
2460192,39,Liolaemus audituvelatus,Dragon Of Torres [Manueli],38
2462225,39,Ctenotus arnhemensis,Jabiluka Ctenotus,15
2465847,39,Tympanocryptis cephalus,Blotch-tailed Earless Dragon,2
2467153,39,Anolis brevirostris,Shortnose Anole,
2467538,39,Anolis carpenteri,Carpenter Anole,33
2471907,39,Enyalioides palpebralis,Boulenger's Dwarf Iguana,32
4287381,39,Nadzikambia mlanjensis,Mulanje Chameleon,33
5222030,39,Furina dunmalli,Dunmall's Snake,11
5226611,39,Abronia mixteca,Mixtecan Arboreal Alligator Lizard,36
5226726,39,Acanthodactylus cantoris,Indian Fringe-fingered Lizard,18
5227047,39,Micrurus bocourti,Ecuador Coral Snake,27
7473393,39,Liolaemus araucaniensis,,33
7731189,39,Marisora roatanae,Honduran Skink,36
7951322,39,Trioceros werneri,Wemer's Chameleon,27
8255981,39,Smaug warreni,Lebombo Dragon Lizard,5
8337036,39,Trachylepis tessellata,Tessellated Mabuya,37
9297813,39,Calotes pethiyagodai,Pethiyagoda's Crestless Lizard,13
9898822,39,Flexiseps johannae,Johanna's Skink,27
11157149,39,Chelus orinocensis,Orinoco Matamata,
9268885,39,Pelomedusa neumanni,East African Helmeted Turtle,
11597404,38,Gekko hulk,,
2443778,38,Atheris nitschei,Great Lakes Bush Viper,32
2445191,38,Cryptactites peringueyi,Peringuey’s Coastal Leaf-toed Gecko,7
2445195,38,Sphaerodactylus rosaurae,Bay Island Least Gecko,37
2445285,38,Sphaerodactylus molei,Mole's Gecko,34
2450966,38,Colobodactylus taunayi,Taunay Teiid,
2452200,38,Amastridium sapperi,Rusty-headed Snake,29
2452662,38,Psomophis genimaculatus,Spirit Diminutive Snake,29
2453112,38,Ithycyphus miniatus,Cinnabar Malagasy Night Snake,29
2454386,38,Prosymna janii,Keel-scaled Shovel-snout,16
2455199,38,Liopeltis tricolor,Malayan Ringneck,37
2459834,38,Stenocercus humeralis,Patterned Whorltail Iguana,29
2461305,38,Ablepharus bivittatus,Twin-striped Skink,6
2462055,38,Oligosoma infrapunctatum,Boulenger's Speckled Skink,2
2462251,38,Ctenotus eurydice,Brown-backed Yellow-lined Ctenotus,
2463323,38,Emoia samoensis,Samoa Skink,27
2464508,38,Sphenomorphus puncticentralis,,34
2465891,38,Calotes nemoricola,Nilgiri Forest Lizard,36
2468938,38,Eremias scripta,Sand Racerunner,22
4287391,38,Kinyongia tenuis,Matschie's Dwarf Chameleon,
4287762,38,Saphenophis boursieri,,12
5222243,38,Tropidophis haetianus,Haitian Dwarf Boa,31
7401768,38,Platyceps sinai,Sinai Racer,0
7475409,38,Anolis anchicayae,,36
7566014,38,Leptodeira uribei,Uribe's False Cat-eyed Snake,38
7663563,38,Agama africana,West African Agama,33
7926393,38,Tricheilostoma bicolor,Two-colored Blind Snake,34
9593278,38,Anilios silvia,Great Sandy Blind Snake,3
9979403,38,Enyalius capetinga,,
2442749,38,Palea steindachneri,Wattleneck Softshell,18
2442820,38,Pseudemys alabamensis,Alabama Red-bellied Turtle,38
