species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2606511,24573,Hypogymnia tubulosa,Powder-headed Tube Lichen,
8956209,24537,Xylaria polymorpha,Dead Man's Fingers,
2551415,24489,Russula vesca,The Flirt,5656
2549570,24487,Ganoderma adspersum,,
2576893,24352,Daldinia concentrica,King Alfred's Cakes,
8114182,24266,Xanthoria calcicola,,
9156243,24251,Chalciporus piperatus,Peppery Bolete,
9397402,24178,Jackrogersella multiformis,Birch Woodwart,
8897119,24158,Tricholoma sulphureum,Stinky Knight,
8597577,24076,Cladonia rangiferina,,
8732724,23807,Candelaria concolor,Candleflame Lichen,
8879395,23798,Daedalea quercina,Oak Mazegill,
2534205,23761,Pholiota squarrosa,Shaggy Scalycap,
7700437,23754,Umbelopsis changbaiensis,,
10828425,23532,Bovistella utriformis,,
2529415,23521,Cortinarius caperatus,The Gypsy,8873
5248679,23466,Lactarius blennius,Beech Milkcap,592
5258678,23403,Aleuria aurantia,Orange-peel Fungus,
5249353,23387,Pseudohydnum gelatinosum,Jelly Tooth,
10825597,23370,Fomitopsis mounceae,Northern Red Belt,
2606463,23232,Hypogymnia bitteri,Bitter Tube Lichen,
8122710,23121,Lactarius torminosus,Woolly Milkcap,975
2592659,23102,Arthonia radiata,Asterisk Lichen,
2521089,23095,Inonotus obliquus,Chaga,2274
2577646,23028,Leotia lubrica,Jellybaby,
2535471,22995,Lepiota cristata,Stinking Dapperling,
9212934,22986,Byssomerulius corium,Netted Crust,
2598011,22982,Penicillium quercetorum,,
2553113,22787,Stereum subtomentosum,Yellowing Curtain Crust,
8908488,22785,Marasmius rotula,Collared Parachute,
2542912,22587,Cyanosporus caesius,Conifer Blueing Bracket,
8104050,22570,Variospora flavescens,,
2520773,22453,Phellinus tremulae,Aspen Bracket,
2607131,22297,Lecidella stigmatea,Limestone Disc Lichen,
2584352,22296,Ascocoryne sarcoides,Purple Jellydisc,
2518684,22223,Schizopora paradoxa,Split Porecrust,
7248528,22186,Lecanora polytropa,Granite-speck Rim Lichen,
2522210,22087,Hydnellum peckii,Devil's Tooth,
2519770,21865,Hymenochaete rubiginosa,Oak Curtain Crust,
5243279,21806,Lycoperdon excipuliforme,Pestle Puffball,
7247033,21780,Tephromela atra,Black Shields,
2608115,21579,Ramalina fastigiata,Dotted Ribbon Lichen,
2533424,21533,Hypholoma lateritium,Brick Tuft,
2597698,21447,Penicillium melinii,,
5242798,21335,Lacrymaria lacrymabunda,Weeping Widow,
6755116,21288,Circinaria contorta,,
2577023,21223,Kretzschmaria deusta,Brittle Cinder,
2605403,21181,Letharia vulpina,,
2533439,21167,Hypholoma capnoides,Conifer Tuft,6753
2531124,21071,Clitocybe odora,Aniseed Funnel,
2536058,21019,Calvatia gigantea,Giant Puffball,
2603471,21016,Porpidia tuberculosa,Tubercled Boulder Lichen,
5238865,20904,Sarcodon imbricatus,Scaly Tooth,
7741746,20885,Dendrographa decolorans,,
2551213,20714,Russula emetica,Sickener,380
2540800,20713,Grifola frondosa,Hen Of The Woods,
7246697,20712,Cladonia rangiformis,,
2607697,20678,Cladonia chlorophaea,Mealy Pixie-cup,
2605272,20609,Cetraria islandica,Iceland Moss,
8881331,20509,Lactarius scrobiculatus,Spotted Milkcap,2128
7547658,20475,Sidera lenis,,
4911705,20395,Mycena rosea,Rosy Bonnet,
2614118,20390,Didymella exigua,,
2600423,20330,Rhizocarpon geographicum,Yellow Map Lichen,
2525027,20247,Gomphidius glutinosus,Slimy Spike,6992
12135386,20172,Podila minutissima,,
2538644,20160,Hygrocybe ceracea,Butter Waxcap,
2533062,20097,Hebeloma mesophaeum,Veiled Poisonpie,
2522245,20090,Hydnellum caeruleum,Blue Tooth,
5243151,20068,Cyathus striatus,Fluted Bird's Nest,
8813286,20041,Lactarius camphoratus,Curry Milkcap,303
8411734,19916,Chlorociboria aeruginascens,Green Elfcup,
5252216,19872,Fusarium fujikuroi,,
2607590,19820,Cladonia foliacea,,
